"","Name","Position","Age","Season","Transfer_fee","League_to"
"355","Markus Weissenberger","Attacking Midfield","26","2001-2002",2250000,"1.Bundesliga"
"356","Thomas Hengen","Sweeper","26","2001-2002",2250000,"1.Bundesliga"
"357","Denis Lapaczinski","Defensive Midfield","19","2001-2002",2250000,"1.Bundesliga"
"358","Mark Draper","Attacking Midfield","30","2001-2002",2250000,"Premier League"
"359","Joachim Björklund","Centre-Back","30","2001-2002",2230000,"Premier League"
"360","Yann Lachuer","Attacking Midfield","28","2001-2002",2000000,"Ligue 1"
"361","Claudio Taffarel","Goalkeeper","35","2001-2002",2000000,"Serie A"
"362","Marc Wilmots","Attacking Midfield","32","2001-2002",2000000,"1.Bundesliga"
"363","Gheorghe Popescu","Centre-Back","33","2001-2002",2000000,"Serie A"
"364","Winston Parks","Centre-Forward","19","2001-2002",2000000,"Serie A"
"365","Tugay Kerimoglu","Defensive Midfield","30","2001-2002",1950000,"Premier League"
"366","Ulrich Le Pen","Left Winger","27","2001-2002",1950000,"Premier League"
"367","Papa Bouba Diop","Defensive Midfield","23","2001-2002",1800000,"Ligue 1"
"368","Adékambi Olufadé","Right Winger","21","2001-2002",1800000,"Ligue 1"
"369","John Aloisi","Centre-Forward","25","2001-2002",1800000,"LaLiga"
"370","Thomas Gaardsöe","Centre-Back","22","2001-2002",1800000,"Premier League"
"371","Rio Ferdinand","Centre-Back","23","2002-2003",46000000,"Premier League"
"372","Ronaldo","Centre-Forward","25","2002-2003",45000000,"LaLiga"
"373","Hernán Crespo","Centre-Forward","27","2002-2003",36000000,"Serie A"
"374","Alessandro Nesta","Centre-Back","26","2002-2003",30500000,"Serie A"
"375","Fabio Cannavaro","Centre-Back","28","2002-2003",23000000,"Serie A"
"376","Clarence Seedorf","Central Midfield","26","2002-2003",22500000,"Serie A"
"377","Francesco Coco","Left-Back","25","2002-2003",22500000,"Serie A"
"378","Matías Almeyda","Defensive Midfield","28","2002-2003",22100000,"Serie A"
"379","Marco Di Vaio","Centre-Forward","26","2002-2003",21000000,"Serie A"
"380","Nicolas Anelka","Centre-Forward","23","2002-2003",15000000,"Premier League"
"381","Albert Luque","Left Winger","24","2002-2003",15000000,"LaLiga"
"382","El-Hadji Diouf","Centre-Forward","21","2002-2003",15000000,"Premier League"
"383","Adriano","Centre-Forward","20","2002-2003",14500000,"Serie A"
"384","Jonathan Woodgate","Centre-Back","23","2002-2003",13500000,"Premier League"
"385","Jorge Andrade","Centre-Back","24","2002-2003",13000000,"LaLiga"
"386","Javi Moreno","Centre-Forward","27","2002-2003",13000000,"LaLiga"
"387","Hugo Viana","Central Midfield","19","2002-2003",12750000,"Premier League"
"388","Massimo Maccarone","Centre-Forward","22","2002-2003",12380000,"Premier League"
"389","Alberto Gilardino","Centre-Forward","20","2002-2003",12000000,"Serie A"
"390","Martin Laursen","Centre-Back","24","2002-2003",11000000,"Serie A"
"391","Tore André Flo","Centre-Forward","29","2002-2003",11000000,"Premier League"
"392","Roberto Acuña","Central Midfield","30","2002-2003",11000000,"LaLiga"
"393","André Luiz","Attacking Midfield","27","2002-2003",11000000,"Ligue 1"
"394","Robbie Keane","Centre-Forward","21","2002-2003",10500000,"Premier League"
"395","Adrian Mutu","Centre-Forward","23","2002-2003",10000000,"Serie A"
"396","Juan Riquelme","Attacking Midfield","24","2002-2003",10000000,"LaLiga"
"397","Bernardo Corradi","Centre-Forward","26","2002-2003",10000000,"Serie A"
"398","Robbie Fowler","Centre-Forward","27","2002-2003",9800000,"Premier League"
"399","Zé Roberto","Left Midfield","28","2002-2003",9500000,"1.Bundesliga"
"400","Sebastian Deisler","Right Midfield","22","2002-2003",9000000,"1.Bundesliga"
"401","Jean-Claude Darcheville","Centre-Forward","26","2002-2003",9000000,"Ligue 1"
"402","Lee Hughes","Centre-Forward","26","2002-2003",9000000,"Premier League"
"403","Mauro Germán Camoranesi","Right Midfield","25","2002-2003",8500000,"Serie A"
"404","Torsten Frings","Defensive Midfield","25","2002-2003",8500000,"1.Bundesliga"
"405","França","Centre-Forward","26","2002-2003",8500000,"1.Bundesliga"
"406","Fabrizio Miccoli","Centre-Forward","23","2002-2003",7500000,"Serie A"
"407","Salif Diao","Defensive Midfield","25","2002-2003",7500000,"Premier League"
"408","Matías Vuoso","Centre-Forward","20","2002-2003",7500000,"Premier League"
"409","Christian Poulsen","Defensive Midfield","22","2002-2003",7000000,"1.Bundesliga"
"410","Mark Bresciano","Central Midfield","22","2002-2003",7000000,"Serie A"
"411","Gilberto Silva","Defensive Midfield","25","2002-2003",6900000,"Premier League"
"412","George Boateng","Defensive Midfield","26","2002-2003",6900000,"Premier League"
"413","Juninho Paulista","Attacking Midfield","29","2002-2003",6900000,"Premier League"
"414","Titus Bramble","Centre-Back","20","2002-2003",6800000,"Premier League"
"415","Bruno Cheyrou","Central Midfield","24","2002-2003",6500000,"Premier League"
"416","Émerson","Defensive Midfield","30","2002-2003",6500000,"LaLiga"
"417","Jan Simak","Attacking Midfield","23","2002-2003",6500000,"1.Bundesliga"
"418","Clinton Morrison","Centre-Forward","23","2002-2003",6380000,"Premier League"
"419","Frank Rost","Goalkeeper","29","2002-2003",6250000,"1.Bundesliga"
"420","Rubén Olivera","Central Midfield","19","2002-2003",6240000,"Serie A"
"421","Michael Ballack","Central Midfield","25","2002-2003",6000000,"1.Bundesliga"
"422","Sylvain Distin","Centre-Back","24","2002-2003",6000000,"Premier League"
"423","Maxi Rodríguez","Left Winger","21","2002-2003",6000000,"LaLiga"
"424","Ariza Makukula","Centre-Forward","21","2002-2003",5500000,"Ligue 1"
"425","Richard Wright","Goalkeeper","24","2002-2003",5500000,"Premier League"
"426","Gary Rowett","Right-Back","28","2002-2003",5250000,"Premier League"
"427","Matt Piper","Right Midfield","20","2002-2003",5250000,"Premier League"
"428","Michael Ricketts","Centre-Forward","24","2002-2003",5250000,"Premier League"
"429","Dario Simic","Centre-Back","26","2002-2003",5000000,"Serie A"
"430","Matteo Brighi","Central Midfield","21","2002-2003",5000000,"Serie A"
"431","Petr Cech","Goalkeeper","20","2002-2003",5000000,"Ligue 1"
"432","Marcus Stewart","Centre-Forward","29","2002-2003",4880000,"Premier League"
"433","Carlos Paredes","Defensive Midfield","25","2002-2003",4800000,"Serie A"
"434","Stephen Appiah","Central Midfield","21","2002-2003",4550000,"Serie A"
"435","Emiliano Bonazzoli","Centre-Forward","23","2002-2003",4500000,"Serie A"
"436","Stephen Wright","Right-Back","22","2002-2003",4500000,"Premier League"
"437","David Sommeil","Centre-Back","27","2002-2003",4500000,"Premier League"
"438","Nick Barmby","Left Midfield","28","2002-2003",4500000,"Premier League"
"439","Daniel Bierofka","Left Midfield","23","2002-2003",4200000,"1.Bundesliga"
"440","Georgi Ivanov","Centre-Forward","26","2002-2003",4100000,"Ligue 1"
"441","Patrice Evra","Left-Back","21","2002-2003",4100000,"Ligue 1"
"442","Bernardo Corradi","Centre-Forward","26","2002-2003",4000000,"Serie A"
"443","Cristian Ledesma","Central Midfield","23","2002-2003",4000000,"1.Bundesliga"
"444","Darío Rodríguez","Left-Back","27","2002-2003",4000000,"1.Bundesliga"
"445","Mahamadou Diarra","Defensive Midfield","21","2002-2003",3900000,"Ligue 1"
"446","Pascal Cygan","Centre-Back","28","2002-2003",3830000,"Premier League"
"447","Franck Queudrue","Left-Back","23","2002-2003",3750000,"Premier League"
"448","David Prutton","Central Midfield","21","2002-2003",3750000,"Premier League"
"449","Mart Poom","Goalkeeper","30","2002-2003",3750000,"Premier League"
"450","Marek Jankulovski","Left-Back","25","2002-2003",3500000,"Serie A"
"451","Dwight Yorke","Centre-Forward","30","2002-2003",3500000,"Premier League"
"452","Dagui Bakari","Centre-Forward","27","2002-2003",3500000,"Ligue 1"
"453","Juan","Centre-Back","23","2002-2003",3500000,"1.Bundesliga"
"454","Jason Koumas","Attacking Midfield","22","2002-2003",3450000,"Premier League"
"455","Jiri Stajner","Second Striker","26","2002-2003",3100000,"1.Bundesliga"
"456","Dmitri Sychev","Centre-Forward","19","2002-2003",3000000,"Ligue 1"
"457","Angelos Charisteas","Centre-Forward","22","2002-2003",3000000,"1.Bundesliga"
"458","Cosmin Contra","Right-Back","26","2002-2003",3000000,"LaLiga"
"459","Antti Niemi","Goalkeeper","30","2002-2003",3000000,"Premier League"
"460","Rodrigo Fabri","Central Midfield","26","2002-2003",3000000,"LaLiga"
"461","Michael Svensson","Centre-Back","26","2002-2003",3000000,"Premier League"
"462","Marcus Allbäck","Centre-Forward","29","2002-2003",3000000,"Premier League"
"463","Facundo Sava","Centre-Forward","28","2002-2003",3000000,"Premier League"
"464","Richard Dutruel","Goalkeeper","29","2002-2003",2900000,"LaLiga"
"465","Lee Carsley","Defensive Midfield","28","2002-2003",2850000,"Premier League"
"466","Samuele Dalla Bona","Central Midfield","21","2002-2003",2700000,"Serie A"
"467","Ulises de la Cruz","Right-Back","28","2002-2003",2700000,"Premier League"
"468","Morten Skoubo","Centre-Forward","22","2002-2003",2700000,"1.Bundesliga"
"469","David Villa","Centre-Forward","21","2002-2003",2700000,"LaLiga"
"470","Gabriel Loeschbor","Centre-Back","25","2002-2003",2610000,"Ligue 1"
"471","Manuel Friedrich","Centre-Back","22","2002-2003",2500000,"1.Bundesliga"
"472","Sasa Bjelanovic","Centre-Forward","23","2002-2003",2500000,"Serie A"
"473","Vladimir Manchev","Centre-Forward","24","2002-2003",2500000,"Ligue 1"
"474","Hervé Nzelo-Lembi","Centre-Back","26","2002-2003",2500000,"1.Bundesliga"
"475","Carsten Jancker","Centre-Forward","27","2002-2003",2500000,"Serie A"
"476","Sean Gregan","Centre-Back","28","2002-2003",2500000,"Premier League"
"477","Anthony Le Tallec","Centre-Forward","17","2002-2003",2500000,"Premier League"
"478","David Thompson","Right Midfield","24","2002-2003",2250000,"Premier League"
"479","Danny Higginbotham","Centre-Back","24","2002-2003",2250000,"Premier League"
"480","Aliou Cissé","Defensive Midfield","26","2002-2003",2250000,"Premier League"
"481","Ricardo","Goalkeeper","30","2002-2003",2230000,"Premier League"
"482","Chris Riggott","Centre-Back","22","2002-2003",2230000,"Premier League"
"483","Stefan Postma","Goalkeeper","26","2002-2003",2230000,"Premier League"
"484","Rade Prica","Centre-Forward","22","2002-2003",2200000,"1.Bundesliga"
"485","Christoph Preuß","Defensive Midfield","21","2002-2003",2200000,"1.Bundesliga"
"486","Olivier Thomert","Left Midfield","22","2002-2003",2000000,"Ligue 1"
"487","Ümit Davala","Right Midfield","28","2002-2003",2000000,"Serie A"
"488","Gustavo Varela","Right Midfield","24","2002-2003",2000000,"1.Bundesliga"
"489","Hanno Balitsch","Defensive Midfield","21","2002-2003",2000000,"1.Bundesliga"
"490","René-Salomon Olembé","Left Midfield","21","2002-2003",2000000,"Ligue 1"
"491","Mazhar Abdelrahman","Forward","25","2002-2003",2000000,"Ligue 1"
"492","Shunsuke Nakamura","Attacking Midfield","24","2002-2003",2000000,"Serie A"
"493","Robbie Savage","Central Midfield","27","2002-2003",1880000,"Premier League"
"494","Espen Baardsen","Goalkeeper","25","2002-2003",1880000,"Premier League"
"495","Jamie Clapham","Left-Back","27","2002-2003",1850000,"Premier League"
"496","Arne Friedrich","Centre-Back","23","2002-2003",1800000,"1.Bundesliga"
"497","Juan Fernández","Right-Back","22","2002-2003",1650000,"1.Bundesliga"
"498","Massimo Oddo","Right-Back","26","2002-2003",1500000,"Serie A"
"499","Alex Frei","Centre-Forward","23","2002-2003",1500000,"Ligue 1"
"500","Clemens Fritz","Central Midfield","21","2002-2003",1500000,"1.Bundesliga"
"501","Marco Caneira","Centre-Back","23","2002-2003",1500000,"Ligue 1"
"502","Adrian Ilie","Centre-Forward","28","2002-2003",1500000,"LaLiga"
"503","Cyril Jeunechamp","Defensive Midfield","27","2002-2003",1500000,"Ligue 1"
"504","Andy Todd","Centre-Back","27","2002-2003",1500000,"Premier League"
"505","Darren Ambrose","Left Midfield","19","2002-2003",1500000,"Premier League"
"506","Cyril Domoraud","Centre-Back","30","2002-2003",1500000,"LaLiga"
"507","Matthew Upson","Centre-Back","23","2002-2003",1400000,"Premier League"
"508","Blaise Nkufo","Centre-Forward","27","2002-2003",1400000,"1.Bundesliga"
"509","Bill Tchato","Left-Back","27","2002-2003",1400000,"1.Bundesliga"
"510","Stephen Clemence","Right Midfield","24","2002-2003",1350000,"Premier League"
"511","Alexander Manninger","Goalkeeper","25","2002-2003",1320000,"LaLiga"
"512","Jiayi Shao","Left Midfield","22","2002-2003",1300000,"1.Bundesliga"
"513","Hermann Hreidarsson","Centre-Back","28","2002-2003",1200000,"Premier League"
"514","Radoslaw Kaluzny","Defensive Midfield","28","2002-2003",1200000,"1.Bundesliga"
"515","Mark Kinsella","Defensive Midfield","29","2002-2003",1150000,"Premier League"
"516","François Grenet","Right-Back","27","2002-2003",1120000,"Ligue 1"
"517","Lee Marshall","Central Midfield","23","2002-2003",1050000,"Premier League"
"518","Kanga Akalé","Left Winger","21","2002-2003",1000000,"Ligue 1"
"519","Pablo Thiam","Defensive Midfield","29","2002-2003",1000000,"1.Bundesliga"
"520","Philippe Brunel","Left Midfield","29","2002-2003",1000000,"Ligue 1"
"521","Christian Timm","Right Winger","23","2002-2003",1000000,"1.Bundesliga"
"522","Thomas Thorninger","Centre-Forward","29","2002-2003",1000000,"Serie A"
"523","Filipe Teixeira","Right Winger","21","2002-2003",1000000,"Ligue 1"
"524","Mikkel Bischoff","Centre-Back","20","2002-2003",950000,"Premier League"
"525","Frédson","Defensive Midfield","21","2002-2003",950000,"LaLiga"
"526","Apostolos Liolidis","Right Winger","24","2002-2003",900000,"Serie A"
"527","Rémo Meyer","Centre-Back","21","2002-2003",825000,"1.Bundesliga"
"528","David Beckham","Right Midfield","28","2003-2004",37500000,"LaLiga"
"529","Ronaldinho","Attacking Midfield","23","2003-2004",32250000,"LaLiga"
"530","Hernán Crespo","Centre-Forward","28","2003-2004",26000000,"Premier League"
"531","Damien Duff","Right Midfield","24","2003-2004",24500000,"Premier League"
"532","Adriano","Centre-Forward","21","2003-2004",23400000,"Serie A"
"533","Juan Sebastián Verón","Central Midfield","28","2003-2004",21500000,"Premier League"
"534","Sébastien Frey","Goalkeeper","23","2003-2004",21000000,"Serie A"
"535","Claude Makélélé","Defensive Midfield","30","2003-2004",20000000,"Premier League"
"536","José Antonio Reyes","Right Winger","20","2003-2004",20000000,"Premier League"
"537","Roy Makaay","Centre-Forward","28","2003-2004",19750000,"1.Bundesliga"
"538","Adrian Mutu","Centre-Forward","24","2003-2004",19000000,"Premier League"
"539","Cristiano Ronaldo","Centre-Forward","18","2003-2004",19000000,"Premier League"
"540","Cristian Chivu","Centre-Back","22","2003-2004",18000000,"Serie A"
"541","Louis Saha","Centre-Forward","25","2003-2004",17500000,"Premier League"
"542","Evanilson","Right-Back","27","2003-2004",15000000,"1.Bundesliga"
"543","Scott Parker","Central Midfield","23","2003-2004",14000000,"Premier League"
"544","Andy van der Meyde","Right Winger","23","2003-2004",12000000,"Serie A"
"545","Michael Essien","Defensive Midfield","20","2003-2004",11700000,"Ligue 1"
"546","Pauleta","Centre-Forward","30","2003-2004",11000000,"Ligue 1"
"547","Wayne Bridge","Left-Back","22","2003-2004",10500000,"Premier League"
"548","Jermain Defoe","Centre-Forward","21","2003-2004",10500000,"Premier League"
"549","Harry Kewell","Left Winger","24","2003-2004",10000000,"Premier League"
"550","Juan Riquelme","Attacking Midfield","25","2003-2004",10000000,"LaLiga"
"551","Njitap Geremi","Right-Back","24","2003-2004",10000000,"Premier League"
"552","Reinaldo","Centre-Forward","24","2003-2004",10000000,"Ligue 1"
"553","Joe Cole","Attacking Midfield","21","2003-2004",9900000,"Premier League"
"554","Barry Ferguson","Defensive Midfield","25","2003-2004",9750000,"Premier League"
"555","Julio Cruz","Centre-Forward","28","2003-2004",9500000,"Serie A"
"556","Hélder Postiga","Centre-Forward","20","2003-2004",9000000,"Premier League"
"557","José Mari","Centre-Forward","24","2003-2004",9000000,"LaLiga"
"558","Andrés D'Alessandro","Attacking Midfield","22","2003-2004",9000000,"1.Bundesliga"
"559","Ousmane Dabo","Defensive Midfield","26","2003-2004",8880000,"Serie A"
"560","Kléberson","Central Midfield","24","2003-2004",8600000,"Premier League"
"561","Glen Johnson","Right-Back","18","2003-2004",8300000,"Premier League"
"562","Kaká","Attacking Midfield","21","2003-2004",8250000,"Serie A"
"563","David Dunn","Attacking Midfield","23","2003-2004",8250000,"Premier League"
"564","Stephen Appiah","Central Midfield","22","2003-2004",8000000,"Serie A"
"565","Nicola Legrottaglie","Centre-Back","26","2003-2004",7000000,"Serie A"
"566","Ricardo Quaresma","Right Winger","19","2003-2004",6350000,"LaLiga"
"567","Joseph Yobo","Centre-Back","22","2003-2004",6000000,"Premier League"
"568","Mido","Centre-Forward","20","2003-2004",6000000,"Ligue 1"
"569","Branko Boskovic","Central Midfield","23","2003-2004",6000000,"Ligue 1"
"570","Didier Drogba","Centre-Forward","25","2003-2004",6000000,"Ligue 1"
"571","Luciano Zauri","Right-Back","25","2003-2004",5950000,"Serie A"
"572","Anthony Réveillère","Right-Back","23","2003-2004",5600000,"Ligue 1"
"573","Aleksey Smertin","Defensive Midfield","28","2003-2004",5500000,"Premier League"
"574","Frédéric Kanouté","Centre-Forward","25","2003-2004",5250000,"Premier League"
"575","Rafael Márquez","Centre-Back","24","2003-2004",5250000,"LaLiga"
"576","Steve Finnan","Right-Back","27","2003-2004",5250000,"Premier League"
"577","Olivier Dacourt","Defensive Midfield","28","2003-2004",5250000,"Serie A"
"578","Martín Demichelis","Centre-Back","22","2003-2004",5000000,"1.Bundesliga"
"579","Albert Riera","Left Winger","21","2003-2004",5000000,"Ligue 1"
"580","Ariel Ibagaza","Attacking Midfield","26","2003-2004",5000000,"LaLiga"
